X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1998,804,-755,155.8,-109.4,-178.3,-99,-596,23,1
-1578,65,-355,-172.5,-103.1,-221.7,-4,-606,24,1
-437,-1082,-322,56.8,-19.7,-95.1,44,-614,27,1
-18,1117,-337,294.8,45.4,87.4,17,-564,-32,1
-228,433,-325,-44.4,136.4,155.3,-47,-550,-44,1
-630,83,-58,14.5,160.3,249.6,-144,-523,-17,1
-1389,358,54,-60.5,205.3,313.9,-243,-469,23,1
-1998,-486,-75,-107.4,190.1,310.8,-326,-393,98,1
-1963,-1374,514,-113.5,123.9,220.7,-363,-321,146,1
-1528,-1998,618,-41.6,17.0,-27.0,-368,-314,157,1
-1948,1535,-53,104.4,-98.4,-111.4,-354,-355,139,1
-848,-1286,-726,-282.8,-30.9,-228.1,-323,-435,131,1
-1306,-627,-52,174.5,-46.6,-105.6,-304,-464,114,1
-962,666,228,10.3,-5.2,-63.7,-291,-481,92,1
-1003,-794,-393,52.4,-6.5,-14.9,-276,-504,100,1
-990,383,86,26.7,-5.8,-19.0,-272,-490,86,1
-1002,-280,-61,31.1,-4.5,-27.6,-270,-497,101,1
-1081,32,-73,18.5,-14.2,-45.4,-259,-499,79,1
-1149,-4,-209,19.3,-36.1,-66.9,-240,-510,67,1
-1462,107,-81,11.3,-67.3,-103.4,-211,-539,61,1
-1697,152,-298,-16.6,-99.7,-148.9,-163,-561,44,1
-1992,539,-755,122.0,-116.8,-177.5,-105,-570,6,1
-1927,507,27,-191.4,-99.0,-224.9,-23,-587,-15,1
-531,-1084,-366,46.6,-15.1,-99.6,43,-611,20,1
-13,1081,-336,291.9,48.5,89.8,38,-572,-21,1
-195,364,-295,-35.3,144.2,156.5,-39,-536,-49,1
-696,191,46,23.0,164.4,250.1,-131,-513,-40,1
-1326,487,149,-69.3,194.5,304.3,-239,-466,8,1
-1998,-549,-232,-127.6,174.3,332.0,-320,-401,61,1
-1998,-1434,428,-150.5,123.6,226.1,-362,-338,129,1
-1639,-1998,508,35.8,12.3,-37.9,-374,-317,148,1
-1998,1931,623,150.5,-104.2,-108.8,-353,-362,122,1
-397,-1615,-791,-200.6,-29.3,-201.8,-321,-451,129,1
-1324,-254,101,158.0,-52.3,-105.0,-289,-482,100,1
-941,209,128,-25.1,-7.3,-62.7,-276,-493,97,1
-987,-538,-330,29.7,-6.2,-21.5,-269,-506,93,1
-1018,272,111,45.2,-7.7,-16.4,-265,-498,69,1
-1005,-324,-82,27.0,-5.1,-29.7,-268,-503,81,1
-1036,173,-80,6.7,-18.7,-55.2,-253,-509,67,1
-1195,-93,-204,23.0,-38.8,-70.2,-231,-525,61,1
-1524,96,-117,7.6,-70.4,-107.2,-204,-545,43,1
-1824,324,-204,3.8,-105.8,-154.3,-152,-568,35,1
-1998,952,-915,140.6,-113.1,-185.2,-77,-578,-7,1
-1677,-226,-480,-200.2,-106.9,-224.9,7,-601,-5,1
-472,-838,-313,56.5,-13.3,-96.4,68,-619,20,1
81,1064,-204,193.9,68.3,104.4,38,-577,-42,1
-273,265,-310,-38.9,150.2,184.9,-33,-569,-52,1
-769,247,10,22.6,173.8,265.1,-131,-538,-18,1
-1662,358,83,-72.2,206.9,312.2,-242,-488,19,1
-1998,-858,-200,-135.3,182.4,323.1,-320,-399,98,1
-1998,-1856,276,-151.7,132.8,229.2,-377,-332,166,1
-1717,-1998,823,39.4,9.1,-55.6,-378,-321,178,1
-1998,1976,708,143.4,-94.0,-110.2,-355,-382,139,1
-1142,-1571,-1275,-242.0,-15.2,-204.2,-321,-458,156,1
-1129,-497,201,188.1,-54.8,-94.1,-299,-485,136,1
-939,283,157,-35.7,0.9,-62.7,-285,-507,115,1
-992,-680,-403,37.1,-0.2,-16.1,-267,-518,129,1
-1018,522,124,56.9,-1.6,-19.2,-277,-507,105,1
-981,-347,-81,1.1,-3.0,-37.8,-266,-524,103,1
-1037,-58,-131,18.4,-13.0,-52.5,-243,-524,106,1
-1111,-99,-250,33.1,-32.0,-73.0,-240,-547,81,1
-1488,81,-109,18.5,-69.2,-113.4,-198,-558,85,1
-1772,198,-272,7.2,-101.6,-160.7,-145,-587,61,1
-1998,1142,-690,148.3,-101.6,-192.2,-75,-591,11,1
-1503,-402,-560,-200.2,-85.8,-228.6,1,-618,16,1
