X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1484,687,249,71.1,267.9,438.2,-363,-231,396,2
-1998,-1551,869,-150.9,218.4,387.9,-292,-91,462,2
-1327,-1998,1516,-46.0,55.7,125.0,-219,-15,469,2
-843,-1998,67,-120.8,-10.6,-122.3,-237,0,453,2
1210,1560,-805,555.2,-121.3,-304.2,-307,-107,438,2
-466,-1811,-322,70.7,-61.9,-172.0,-351,-186,416,2
-1909,-669,168,-8.1,-66.4,-57.2,-364,-238,402,2
-1998,185,24,-47.0,-38.2,-63.9,-375,-243,368,2
-1949,1182,-325,132.2,-35.1,-106.4,-370,-281,362,2
-1988,378,-43,-145.8,-98.4,-229.3,-373,-339,350,2
-1486,-225,-1088,30.5,-77.3,-271.6,-354,-421,319,2
-1998,1701,-744,256.9,-66.4,-94.4,-329,-492,243,2
41,471,-239,-109.7,53.2,133.5,-330,-473,275,2
-102,-419,-386,-17.5,149.5,346.0,-369,-379,308,2
-1313,593,-133,99.0,242.4,459.6,-368,-240,375,2
-1998,-1256,960,-154.9,229.3,404.7,-299,-87,451,2
-1642,-1998,1213,-24.5,67.6,144.9,-231,-7,456,2
-1757,-1998,-913,-225.1,8.9,-208.6,-258,2,413,2
693,1997,485,382.7,-115.4,-327.6,-317,-147,437,2
-376,-1407,-338,52.0,-60.4,-178.0,-354,-206,407,2
-1325,-652,-67,-10.2,-50.2,-65.1,-355,-244,397,2
-1998,324,-2,-53.6,-46.8,-76.3,-364,-262,383,2
-1998,1055,-445,155.5,-34.1,-101.9,-366,-294,365,2
-1926,390,-298,-122.4,-91.9,-242.9,-369,-357,355,2
-1728,-124,-1124,39.9,-74.1,-297.3,-329,-447,322,2
-1985,1633,-746,224.9,-49.6,-109.5,-302,-513,252,2
189,321,-297,-36.2,153.3,301.4,-299,-513,275,2
100,-374,-307,-103.0,52.5,82.3,-338,-447,331,2
-921,662,-147,73.0,245.1,441.7,-355,-314,406,2
-1998,-89,593,-148.6,245.2,433.2,-302,-164,470,2
-1998,-1998,1218,-41.3,95.9,221.3,-218,-35,490,2
-562,-1998,664,-132.1,-12.3,-112.2,-203,-19,468,2
-1998,-1998,1837,-233.5,-72.2,-502.6,-243,-51,462,2
-1841,-176,675,-10.9,-89.3,-265.5,-310,-166,457,2
-1032,-743,-88,56.9,-44.0,-131.7,-331,-228,444,2
-1998,-185,331,-36.7,-58.7,-68.6,-343,-258,425,2
-1872,351,-592,67.2,-19.8,-89.1,-338,-279,418,2
-1998,1412,-29,28.1,-65.1,-154.6,-342,-345,394,2
-1998,-343,-497,7.2,-80.5,-281.9,-322,-421,385,2
-1988,1436,-1076,329.5,-71.6,-144.8,-290,-505,320,2
-132,1076,-565,-21.0,44.3,13.6,-284,-530,312,2
-53,-176,-383,-53.6,151.2,248.0,-311,-469,373,2
-826,470,-227,34.3,227.0,394.8,-340,-352,415,2
-1998,177,277,-80.3,247.0,439.0,-291,-215,501,2
-1998,-1998,870,-120.4,118.9,285.6,-218,-86,533,2
-284,-1998,986,-163.3,-14.1,-33.5,-206,-57,515,2
-1917,-1998,1881,31.5,-117.3,-512.1,-255,-84,484,2
-1716,62,1134,-50.0,-108.2,-273.9,-295,-221,505,2
