X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-958,-143,-208,3.4,4.9,-3.6,-323,-287,61,0
-954,-139,-222,2.3,6.9,-4.6,-322,-290,74,0
-958,-164,-244,1.2,7.1,-3.9,-325,-299,69,0
-955,-156,-253,2.8,5.9,-3.3,-322,-296,91,0
-957,-170,-269,0.4,3.2,-2.0,-323,-294,93,0
-952,-168,-269,1.9,-0.1,-0.7,-320,-293,84,0
-954,-158,-262,1.7,-3.2,0.3,-323,-295,78,0
-953,-163,-255,-0.4,-5.5,1.1,-318,-294,89,0
-952,-160,-244,0.5,-5.6,1.4,-322,-300,80,0
-952,-157,-236,0.9,-4.7,1.5,-323,-297,92,0
-952,-155,-237,0.0,-3.5,1.0,-319,-290,86,0
-955,-161,-238,0.7,-2.7,1.1,-325,-289,78,0
-952,-151,-237,1.7,-2.1,0.8,-321,-287,84,0
-955,-158,-238,0.9,-1.6,0.4,-323,-294,86,0
-955,-154,-242,0.4,-1.6,0.7,-324,-289,80,0
-955,-160,-242,1.4,-2.1,0.9,-325,-292,81,0
-956,-151,-241,0.4,-2.5,0.7,-326,-297,82,0
-956,-159,-241,0.7,-3.0,0.9,-321,-290,74,0
-955,-153,-235,1.4,-3.0,1.0,-317,-293,88,0
-956,-155,-235,1.0,-2.8,1.1,-318,-292,84,0
-956,-152,-235,1.0,-2.3,0.7,-316,-290,80,0
-956,-155,-233,1.1,-1.8,0.4,-318,-289,81,0
-956,-149,-233,1.4,-1.4,0.2,-323,-292,78,0
-956,-158,-238,1.1,-1.2,0.2,-327,-296,80,0
-956,-152,-238,1.6,-1.4,0.2,-324,-295,77,0
-957,-155,-239,1.1,-1.5,0.4,-322,-288,72,0
-956,-155,-238,0.9,-1.8,0.4,-318,-294,86,0
-956,-153,-236,1.3,-1.8,0.5,-323,-294,79,0
-955,-155,-236,0.7,-1.9,0.3,-322,-292,84,0
-955,-155,-237,1.0,-1.9,0.5,-324,-296,92,0
-955,-153,-236,1.4,-1.8,0.4,-325,-294,96,0
-956,-153,-236,0.7,-1.8,0.2,-321,-292,90,0
-955,-157,-236,1.4,-1.8,0.4,-322,-290,80,0
-957,-152,-236,1.1,-1.7,0.4,-316,-296,82,0
-956,-160,-237,0.9,-1.7,0.4,-324,-299,96,0
-955,-153,-235,1.3,-1.6,0.4,-322,-291,85,0
-957,-155,-238,0.8,-1.6,0.4,-320,-291,79,0
-955,-151,-237,1.6,-1.6,0.4,-325,-289,81,0
-956,-157,-238,1.0,-1.8,0.4,-315,-293,87,0
-956,-154,-236,1.1,-1.9,0.4,-317,-289,80,0
-956,-153,-236,1.1,-1.8,0.4,-320,-296,81,0
-956,-156,-235,0.9,-1.6,0.4,-323,-296,86,0
-956,-155,-238,1.1,-1.6,0.4,-326,-296,80,0
-956,-154,-237,0.9,-1.6,0.3,-328,-295,88,0
-955,-157,-238,1.0,-1.7,0.5,-320,-291,87,0
-956,-154,-237,1.0,-1.8,0.5,-329,-295,77,0
-956,-151,-237,0.7,-1.9,0.3,-317,-303,79,0
-955,-157,-237,1.1,-1.9,0.3,-320,-285,74,0
-955,-153,-235,1.3,-1.7,0.4,-316,-299,80,0
-956,-156,-238,0.9,-1.6,0.5,-326,-298,61,0
-956,-154,-236,1.3,-1.7,0.5,-317,-292,80,0
-956,-153,-237,0.9,-1.7,0.2,-317,-300,82,0
-955,-157,-238,0.9,-1.8,0.3,-320,-292,87,0
-956,-155,-237,1.4,-1.9,0.5,-318,-292,88,0
-955,-153,-235,0.8,-1.7,0.4,-324,-289,80,0
-955,-155,-236,1.3,-1.6,0.4,-319,-301,89,0
-956,-155,-238,1.1,-1.6,0.4,-325,-297,89,0
-955,-154,-238,1.1,-1.7,0.4,-317,-294,76,0
-955,-157,-236,0.9,-1.8,0.4,-325,-305,76,0
-956,-154,-237,1.2,-1.7,0.5,-319,-294,88,0
-954,-156,-237,0.9,-1.7,0.4,-326,-289,75,0
-957,-152,-237,0.8,-1.7,0.2,-324,-292,84,0
-954,-158,-237,1.1,-1.8,0.4,-313,-289,83,0
-955,-154,-236,1.0,-1.8,0.5,-324,-294,79,0
-957,-156,-238,1.0,-1.8,0.6,-322,-291,83,0
-957,-153,-239,0.4,-2.2,0.6,-321,-295,78,0
-956,-156,-239,0.3,-2.8,0.7,-320,-298,83,0
-957,-154,-239,-0.1,-3.5,1.1,-320,-300,81,0
-957,-153,-235,0.7,-3.8,1.4,-326,-292,73,0
-958,-150,-230,1.0,-4.4,1.7,-327,-291,74,0
-959,-151,-232,-0.2,-4.6,1.8,-320,-293,73,0
-962,-155,-236,-1.3,-5.9,2.4,-320,-292,88,0
-960,-154,-232,-0.9,-7.8,3.4,-318,-289,82,0
-963,-143,-220,1.1,-9.0,4.1,-317,-287,67,0
-966,-137,-210,-0.7,-9.5,4.2,-313,-287,69,0
-965,-142,-203,-0.3,-9.6,4.1,-319,-288,68,0
-969,-129,-191,1.1,-8.8,3.9,-317,-287,61,0
-969,-125,-184,0.1,-7.3,3.2,-312,-293,73,0
-970,-130,-181,0.1,-5.9,2.6,-313,-285,64,0
-974,-119,-177,0.9,-4.6,2.2,-317,-287,61,0
-972,-127,-182,0.0,-4.1,1.7,-319,-285,68,0
-973,-125,-183,0.0,-3.9,1.7,-312,-286,63,0
-974,-120,-177,1.4,-3.9,1.7,-312,-286,52,0
-975,-122,-179,0.0,-4.1,1.6,-311,-281,57,0
-975,-121,-174,1.3,-4.1,1.7,-314,-284,62,0
-975,-118,-173,0.5,-4.0,1.6,-312,-284,60,0
-975,-118,-170,1.1,-3.7,1.4,-310,-289,60,0
-976,-115,-167,0.5,-3.2,1.1,-312,-286,57,0
-976,-116,-164,1.6,-2.5,0.9,-307,-284,59,0
-976,-115,-165,0.8,-1.8,0.5,-313,-273,59,0
-977,-119,-168,0.8,-1.6,0.3,-302,-286,46,0
-978,-116,-168,1.0,-1.7,0.4,-313,-279,63,0
-978,-120,-171,0.7,-2.2,0.7,-305,-289,60,0
-979,-117,-168,0.9,-2.8,1.1,-313,-283,53,0
-978,-121,-169,0.9,-3.2,1.1,-299,-287,63,0
-978,-114,-167,0.9,-3.3,1.3,-315,-289,58,0
-980,-110,-163,0.9,-3.2,1.3,-311,-284,57,0
-979,-115,-161,0.9,-3.2,1.2,-314,-280,56,0
-980,-112,-159,1.4,-3.0,1.2,-315,-286,56,0
-978,-112,-160,0.8,-2.9,1.1,-316,-284,60,0
