X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-997,-55,-17,1.1,-1.6,0.4,-300,-299,-22,1
-1001,-55,-22,0.9,-1.6,0.4,-304,-300,-9,1
-999,-57,-20,0.8,-1.6,0.2,-289,-304,-30,1
-999,-57,-19,1.2,-1.9,0.3,-296,-302,-32,1
-998,-57,-22,1.1,-1.9,0.2,-312,-310,-12,1
-999,-59,-22,1.3,-2.1,0.3,-301,-305,-13,1
-999,-62,-22,0.9,-2.0,0.2,-289,-314,-30,1
-999,-62,-23,0.7,-1.9,0.3,-305,-306,-24,1
-998,-62,-21,1.5,-1.9,0.5,-300,-310,-16,1
-1000,-55,-19,1.3,-1.8,0.6,-293,-318,-10,1
-1001,-55,-22,1.4,-2.0,0.4,-296,-305,-10,1
-999,-59,-22,1.2,-1.9,0.4,-296,-306,-11,1
-998,-61,-20,1.1,-1.8,0.5,-296,-315,-13,1
-998,-59,-20,1.2,-1.7,0.7,-304,-303,-18,1
-999,-55,-20,0.8,-1.6,0.9,-294,-310,-11,1
-997,-58,-20,0.9,-1.9,0.5,-302,-308,-20,1
-1003,-51,-27,0.3,-2.4,-0.3,-303,-309,-19,1
-997,-60,-18,1.0,-1.8,0.6,-299,-310,-24,1
-997,-59,-19,0.7,-1.7,0.3,-305,-307,-15,1
-1000,-60,-23,1.4,-1.5,0.7,-306,-308,-8,1
-997,-60,-19,1.7,-1.8,0.4,-294,-307,-23,1
-999,-53,-22,0.7,-1.6,0.5,-304,-310,-19,1
-997,-63,-21,1.1,-1.5,0.7,-294,-312,-16,1
-999,-54,-23,1.4,-1.7,0.4,-300,-308,-25,1
-1001,-57,-22,0.9,-1.6,0.6,-288,-313,-37,1
-998,-58,-23,1.1,-1.7,0.5,-302,-301,-25,1
-998,-58,-21,1.1,-1.6,0.5,-299,-307,-20,1
-1000,-53,-22,0.9,-1.7,0.3,-303,-302,-19,1
-999,-59,-25,1.3,-2.0,0.3,-302,-305,-22,1
-999,-52,-24,0.9,-1.9,0.3,-298,-304,-25,1
-998,-60,-24,1.3,-1.8,0.5,-295,-304,-16,1
-999,-55,-22,1.1,-1.8,0.5,-307,-315,-12,1
-999,-60,-25,1.4,-1.8,0.8,-297,-309,-30,1
-998,-59,-25,0.9,-1.8,0.6,-306,-306,-21,1
-999,-60,-23,1.3,-1.8,0.7,-296,-307,-18,1
-999,-54,-23,0.9,-2.0,0.4,-302,-304,-19,1
-997,-60,-26,1.1,-1.9,0.5,-299,-311,-20,1
-999,-55,-23,1.4,-2.1,0.5,-297,-311,-16,1
-1000,-52,-23,1.1,-1.9,0.4,-297,-310,-27,1
-999,-57,-26,1.3,-1.9,0.7,-305,-306,-20,1
-998,-54,-21,1.1,-1.8,0.6,-303,-305,-19,1
-1000,-56,-27,1.1,-2.1,0.4,-300,-307,-21,1
-1000,-54,-21,1.1,-1.9,0.4,-300,-304,-11,1
-998,-55,-22,0.9,-2.0,0.3,-299,-309,-16,1
-1000,-56,-23,1.2,-2.0,0.4,-296,-312,-24,1
-998,-55,-23,1.1,-2.0,0.4,-297,-311,-21,1
-998,-53,-24,0.9,-1.8,0.2,-294,-307,-12,1
-999,-53,-23,1.3,-1.9,0.4,-296,-307,-23,1
-998,-56,-22,0.9,-1.7,0.4,-299,-309,-23,1
-999,-55,-22,1.1,-1.6,0.6,-306,-309,-22,1
-998,-56,-24,0.9,-1.8,0.6,-295,-311,-14,1
-1000,-53,-23,1.2,-1.7,0.7,-302,-306,-22,1
-1000,-54,-25,0.7,-1.7,0.6,-291,-313,-17,1
-999,-59,-26,1.1,-1.9,0.5,-294,-303,-20,1
-999,-54,-22,1.4,-1.9,0.5,-299,-310,-21,1
-998,-55,-27,1.2,-1.9,0.5,-299,-312,-22,1
-1001,-53,-23,1.4,-2.1,0.4,-301,-310,-20,1
-1000,-52,-23,1.5,-2.2,0.4,-298,-304,-14,1
-998,-57,-25,0.9,-2.1,0.3,-294,-311,-18,1
-997,-55,-23,1.0,-2.1,0.4,-299,-303,-2,1
-999,-52,-24,1.1,-1.9,0.6,-292,-305,-16,1
-998,-58,-24,1.0,-2.1,0.4,-299,-309,-19,1
-999,-57,-24,1.1,-2.0,0.5,-309,-308,-21,1
-998,-58,-23,0.9,-2.0,0.4,-299,-308,-29,1
-999,-56,-21,1.2,-2.0,0.4,-298,-305,-22,1
-999,-54,-22,1.3,-2.1,0.4,-294,-306,-20,1
-999,-56,-23,1.0,-1.8,0.6,-299,-306,-21,1
-998,-57,-23,0.8,-1.8,0.4,-294,-304,-12,1
-999,-57,-21,1.3,-1.9,0.6,-294,-312,-17,1
-999,-53,-25,1.4,-2.0,0.4,-301,-309,-17,1
-1000,-51,-22,0.9,-1.9,0.3,-297,-309,-20,1
-1000,-63,-19,0.9,-1.9,0.5,-297,-307,-7,1
-998,-54,-23,1.4,-1.9,0.5,-299,-301,-17,1
-1001,-54,-23,1.4,-1.8,0.4,-291,-305,-25,1
-999,-55,-23,1.1,-1.5,0.7,-298,-298,-13,1
-1000,-57,-23,1.0,-1.4,0.8,-295,-310,-19,1
-1000,-50,-24,0.8,-1.7,0.5,-303,-309,-20,1
-999,-57,-26,1.1,-1.9,0.4,-305,-308,-17,1
-1000,-53,-27,1.1,-1.8,0.4,-294,-308,-21,1
-999,-53,-21,1.1,-1.7,0.7,-308,-302,-20,1
-998,-55,-25,1.1,-1.8,0.6,-304,-305,-13,1
-999,-56,-26,0.8,-1.8,0.5,-297,-307,-18,1
-1000,-55,-22,0.7,-2.1,0.2,-303,-307,-21,1
-999,-51,-24,0.9,-2.1,0.3,-298,-308,-20,1
-999,-57,-26,0.8,-2.3,0.1,-293,-309,-27,1
-998,-55,-23,1.1,-2.1,0.2,-303,-306,-10,1
-998,-56,-23,1.2,-2.2,0.4,-296,-307,-15,1
-1000,-60,-23,1.0,-1.9,0.6,-300,-306,-24,1
-999,-56,-23,1.5,-1.5,0.9,-297,-307,-20,1
-997,-59,-24,1.1,-1.9,0.7,-303,-301,-12,1
-999,-49,-22,1.1,-1.9,0.4,-303,-308,-20,1
-1000,-49,-25,1.4,-2.3,0.1,-301,-306,-29,1
-1001,-50,-21,0.9,-2.1,0.2,-297,-313,-9,1
-999,-58,-24,1.1,-2.0,0.3,-299,-308,-23,1
-1000,-52,-19,1.1,-1.7,0.6,-299,-306,-26,1
-999,-56,-24,1.0,-1.9,0.3,-298,-310,-33,1
-999,-53,-23,1.4,-2.1,0.2,-299,-309,-21,1
-998,-54,-25,1.1,-2.1,0.2,-298,-302,-23,1
-998,-58,-24,0.8,-1.9,0.2,-303,-304,-38,1
-999,-56,-22,1.3,-1.8,0.2,-302,-299,-30,1
-999,-53,-21,1.1,-1.8,0.3,-302,-309,-22,1
-998,-55,-24,1.1,-1.8,0.3,-303,-310,-16,1
-998,-59,-23,0.9,-1.8,0.2,-301,-313,-21,1
-998,-54,-24,1.1,-1.8,0.4,-296,-310,-37,1
-997,-56,-23,1.3,-1.8,0.5,-300,-303,-22,1
-998,-55,-22,1.1,-1.7,0.4,-298,-307,-30,1
-999,-53,-22,1.6,-1.8,0.6,-306,-308,-21,1
-1000,-56,-22,1.1,-1.9,0.4,-303,-311,-19,1
